ID,Intitulé emploi,ROME lib niveau 1,ROME lib niveau 2,Code ROME,Intitulé ROME,,,,,Type de contrat,Niveau emploi,Type employeur,Secteur d'activité,Effectifs de l'entreprise,,,Salaire,,Mode d'obtention,Durée d'accès,Année_diplôme,Code diplôme,Composante,Mention,Spécialité,,Filière_diplôme
9752,Professeur des écoles.,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2106,Enseignement des écoles,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,,,,,,Réussite d un concours administratif,,2012,2216031,IUFM,"SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT, EDUCATION ET FORMATION (EEF)",ENSEIGNEMENT PRIMAIRE ET INTERVENTION EN MILIEU EDUCATIF,,
9753,Cadre de santé,SANTE,Soins paramédicaux,J1502,Coordination de services médicaux ou paramédicaux,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","La fonction publique (d'Etat, territoriale ou hospitalière)",Santé humaine et action sociale,500 et plus,,,2500 et plus,,Candidature spontanée,,2012,2212318,STAPS,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES",ACTIVITES PHYSIQUES POUR LA SANTE,,
9754,,,,,,,,,,,,,,,,,,,,,2012,2214710,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT DES ENTREPRISES EN DIFFICULTES,,
9755,chanteuse,SPECTACLE,Artistes - interprètes du spectacle,L1202,Musique et chant,,,,,"Intermittent du spectacle, pigiste",,Autre,"Arts, spectacles et activités récréatives",Pas de salarié,,,2500 et plus,,Candidature spontanée,,2012,2210327,DROIT,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE D'AFFAIRES,,
9756,,,,,,,,,,,,,,,,,,,,,2012,2210677,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",GESTION DES CONTENTIEUX PRIVES,,
9757,,,,,,,,,,,,,,,,,,,,,2012,2220493,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT PRIVE FONDAMENTAL ET SCIENCES CRIMINELLES,,
9758,cadre,,,,,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),Personnel de catégorie A de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",,,,,,,,,2012,2210694,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN","SECURITE INTERNATIONALE, DEFENSE, INTELLIGENCE ECONOMIQUE",,
9759,Avocat collaborateur ,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",,de 3 à 9,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2012,2214710,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT DES ENTREPRISES EN DIFFICULTES,,
9760,Assistante de vie sociale,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Aide à la vie quotidienne,K1302,Assistance auprès d'adultes,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Santé humaine et action sociale,,,,Moins de 1000,,Candidature spontanée,,2012,2202176,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : METHODES INFORMATIQUES APPLIQUEES A LA GESTIONS DES ENTREPRISES (MIAGE)",NOUVELLES TECHNOLOGIES ET DIRECTION DE PROJETS,,
9761,,,,,,,,,,,,,,,,,,,,,2012,2220263,ISEM,"DROIT, ECONOMIE, GESTION : ECONOMIE DE LA FIRME ET DES MARCHES",GOUVERNANCE DE L'INNOVATION,,
9762,,,,,,,,,,,,,,,,,,,,,2012,2210682,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC",METIERS DE L'IMMOBILIER ET DE L'URBANISME,,
9763,,,,,,,,,,,,,,,,,,,,,2012,2215129,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN","DROIT DE L'ENVIRONNEMENT, DES ESPACES ET RESSOURCES MARITIMES ET DE L'AMENAGEMENT DU LITTORAL",,
9764,Ingenieur developement,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Activités financières et d'assurance,500 et plus,,,2500 et plus,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2202075,POLYTECH,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","INFORMATIQUE, FONDEMENTS ET INGENIERIE (IFI)",,
9765,ingénieur développement ,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,500 et plus,,,,,Cabinet de recrutement,,2012,2202087,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","MOBIQUITE, BASES DE DONNEES ET INTEGRATION DE SYSTEMES (MBDS)",,
9766,Avocat,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Vous-même,,,,,2500 et plus,,,,2012,2210677,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",GESTION DES CONTENTIEUX PRIVES,,
9767,Psychologue clinicienne,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDI,,Un organisme à but non lucratif ou une association,Santé humaine et action sociale,de 50 à 199,,,2500 et plus,,Candidature spontanée,,2012,2211466,LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE CLINIQUE ET GERONTOLOGIQUE,,
9768,,,,,,,,,,,,,,,,,,,,,2012,2210332,IAE,"ADMINISTRATION DES AFFAIRES : FINANCE, FISCALITE",STRATEGIE FISCALE DE L'ENTREPRISE,,
9769,gestionnaire portefeuille,"BANQUE, ASSURANCE, IMMOBILIER",Finance,C1303,Gestion de portefeuilles sur les marchés financiers,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Administration publique (hors enseignement),500 et plus,,,2500 et plus,,Candidature spontanée,,2012,2221707,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE MATHEMATIQUE ET ECONOMIE APPLIQUEE","INGENIERIE STOCHASTIQUE, STATISTIQUE ET METHODES QUANTITATIVES EN ECONOMIE ET FINANCE",,
9770,réalisateur radio,SPECTACLE,Conception et production de spectacles,L1304,Réalisation cinématographique et audiovisuelle,,,,,CDI,,"Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)","Activités spécialisées, scientifiques et techniques",500 et plus,,,1500 à 2000,,Candidature spontanée,,2012,2211177,LASH,"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
9771,,,,,,,,,,,,,,,,,,,,,2012,2224829,LASH,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,,
9772,Notaire stagiaire au sein d'un office notarial,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,CDI,,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)","Activités spécialisées, scientifiques et techniques",de 10 à 49,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2210676,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT NOTARIAL,,
9773,,,,,,,,,,,,,,,,,,,,,2012,2220494,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",SYSTEMES JURIDIQUES,,
9774,assistante projet SAP,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1605,Assistanat technique et administratif,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,2000 à 2500,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2210318,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE","DIRECTION FINANCIERE, AUDIT INTERNE ET CONTROLE DE GESTION",,
9775,Financial Controller,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1204,Contrôle de gestion,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,2500 et plus,,Cabinet de recrutement,,2012,2220552,ISEM,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCESTION DE LA CONNAISSANCE",ECONOMIE ET MANAGEMENT DE L'INNOVATION ET DE LA  CONNAISSANCE,,
9776,psychologue clinicienne,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Santé humaine et action sociale,de 50 à 199,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2211473,LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"PSYCHOPATHOLOGIES INTERCULTURELLES, CLINIQUE DU LIEN SOCIAL, DES SITUATIONS DE CRISE ET DES TRAUMATI",,
9777,,,,,,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Agriculture, sylviculture et pêche",de 50 à 199,,,,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2215136,POLYTECH,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",EURO HYDROINFORMATIQUE ET GESTION DE L'EAU - EURO AQUAE,,
9778,,,,,,,,,,,,,,,,,,,,,2012,2210335,IAE,ADMINISTRATION DES AFFAIRES : MARKETING ET STRATEGIE,MARKETING : ETUDES DES MARCHES ET COMMERCIALISATION,,
9779,Chef de projet Etudes ,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),Personnel de catégorie A de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)","Activités spécialisées, scientifiques et techniques",500 et plus,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2215138,POLYTECH,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE PROJETS HYDRO-TECHNOLOGIQUES ET ENVIRONNEMENTAUX : HYDROPROTECH,,
9780,,,,,,,,,,,,,,,,,,,,,2012,2215124,ISEM,"DROIT, ECONOMIE, GESTION : FINANCE INTERNATIONALE ET ECONOMIE DE LA MONDIALISATION (FIEM)",STRATEGIE D'ENTREPRISE ET DEVELOPPEMENT INTERNATIONAL,,
9781,référent  hygiene  des  locaux  et  sécurité  ( grade  de  technicien  superieur  hospitalier ) ,,,,,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),Personnel de catégorie B de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Santé humaine et action sociale,de 50 à 199,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2210684,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC",SECURITE INTERIEURE,,
9782,ingénieur developpeur informatique,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,de 50 à 199,,,2500 et plus,,Candidature spontanée,,2012,2202075,POLYTECH,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","INFORMATIQUE, FONDEMENTS ET INGENIERIE (IFI)",,
9783,Caissière,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1505,Personnel de caisse,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",500 et plus,,,2500 et plus,,Réseau de relations professionnelles,,2012,2210326,DROIT,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",GESTION JURIDIQUE DES RISQUES ET DEVELOPPEMENT DURABLE,,
9784,,,,,,,,,,,,,,,,,,,,,2012,2215128,DROIT,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",DROIT DE LA PROPRIETE INTELLECTUELLE ET DES NOUVELLES TECHNOLOGIES,,
9785,chargé de mission,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Activités financières et d'assurance,de 3 à 9,,,1500 à 2000,,Candidature spontanée,,2012,2211470,LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE SOCIALE ET DU TRAVAIL ET INGENIERIE DES RESSOURCES HUMAINES,,
9786,,,,,,,,,,,,,,,,,,,,,2012,2210681,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC",SANTE DES POPULATIONS,,
9787,restauration,,,,,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,2000 à 2500,,Candidature spontanée,,2012,2210681,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC",SANTE DES POPULATIONS,,
9788,"officier armée de terre, chef du bureau de maintenance",SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Défense, sécurité publique et secours",K1701,Personnel de la défense,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","La fonction publique (d'Etat, territoriale ou hospitalière)","Commerce, transports, hébergement et restauration",500 et plus,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2210684,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC",SECURITE INTERIEURE,,
9789,,,,,,,,,,,,,,,,,,,,,2012,2202075,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","INFORMATIQUE, FONDEMENTS ET INGENIERIE (IFI)",,
9790,avocate,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Vous-même,Autres activités de service,Pas de salarié,,,1500 à 2000,,,,2012,2210332,IAE,"ADMINISTRATION DES AFFAIRES : FINANCE, FISCALITE",STRATEGIE FISCALE DE L'ENTREPRISE,,
9791,Marketing and Commercial Administrator,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1705,Marketing,,,,,CDI,,Un organisme à but non lucratif ou une association,Autres activités de service,de 50 à 199,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2012,2210322,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",MANAGEMENT DU SPORT,,
9792,Consultant en informatique,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Autres activités de service,500 et plus,,,2500 et plus,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2202075,POLYTECH,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","INFORMATIQUE, FONDEMENTS ET INGENIERIE (IFI)",,
9793,Conseillère de vente,,,,,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,1500 à 2000,,Candidature spontanée,,2012,2210321,Esp. Cult.,"DROIT, ECONOMIE, GESTION : MANAGEMENT",GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS (GATH),,
9794,,,,,,,,,,,,,,,,,,,,,2012,2210684,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC",SECURITE INTERIEURE,,
9795,,,,,,,,,,,,,,,,,,,,,2012,2211175,LASH,"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
9796,Consultante qualité,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,2500 et plus,,"Pôle Emploi, APEC, AFIJ, mission locale",,2012,2215137,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
9797,Consultant technique confirmé,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,500 et plus,,,2500 et plus,,Candidature spontanée,,2012,2202176,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : METHODES INFORMATIQUES APPLIQUEES A LA GESTIONS DES ENTREPRISES (MIAGE)",NOUVELLES TECHNOLOGIES ET DIRECTION DE PROJETS,,
9798,notaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 10 à 49,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2012,2210676,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT NOTARIAL,,
9799,,,,,,,,,,,,,,,,,,,,,2012,2210694,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN","SECURITE INTERNATIONALE, DEFENSE, INTELLIGENCE ECONOMIQUE",,
9800,Directrice associé intelligence économique,,,,,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Information et communication,de 3 à 9,,,2000 à 2500,,Réseau de relations professionnelles,,2012,2210694,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN","SECURITE INTERNATIONALE, DEFENSE, INTELLIGENCE ECONOMIQUE",,
9801,clerc de notaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Autres activités de service,de 3 à 9,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2210327,DROIT,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE D'AFFAIRES,,
9802,secrétaire comptable,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1608,Secrétariat comptable,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Construction,de 50 à 199,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",,2012,2210331,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",INGENIERIE FINANCIERE,,
9803,spécialiste de responsabilité sociale des entreprises,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Industries (manufacturières, extractives et autres)",,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2012,2214342,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",ADMINISTRATION DES ENTREPRISES,,
9804,,,,,,,,,,,,,,,,,,,,,2012,2214342,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",ADMINISTRATION DES ENTREPRISES,,
9805,,,,,,,,,,,,,,,,,,,,,2012,2220262,DROIT,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",DROIT ECONOMIQUE ET DES AFFAIRES,,
9806,Collaborateur juridique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP","La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique (hors enseignement),de 50 à 199,,,2500 et plus,,Candidature spontanée,,2012,2214342,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",ADMINISTRATION DES ENTREPRISES,,
9807,Responsable assurance international,"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1102,Conseil clientèle en assurances,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2210326,DROIT,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",GESTION JURIDIQUE DES RISQUES ET DEVELOPPEMENT DURABLE,,
9808,chef de réception,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Accueil en hôtellerie,G1703,Réception en hôtellerie,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,1500 à 2000,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2214342,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",ADMINISTRATION DES ENTREPRISES,,
9809,,,,,,,,,,,,,,,,,,,,,2012,2220499,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN",GOUVERNANCE ET FINANCEMENT DU DEVELOPPEMENT,,
9810,gérant,SUPPORT À L'ENTREPRISE,Direction d'entreprise,M1302,Direction de petite ou moyenne entreprise,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Un particulier,Information et communication,de 1 à 2,,,2000 à 2500,,,,2012,2202087,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","MOBIQUITE, BASES DE DONNEES ET INTEGRATION DE SYSTEMES (MBDS)",,
9811,,,,,,,,,,,,,,,,,,,,,2012,2202198,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE ET APPLICATIONS",OPTIQUE,,
9812,Ingénieur,INDUSTRIE,"Conception, recherche, études et développement",H1206,"Management et ingénierie études, recherche et développement industriel",,,,,,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",,500 et plus,,,2500 et plus,,"Réseau de relations personnelles, familiales...",,2012,2215138,POLYTECH,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE PROJETS HYDRO-TECHNOLOGIQUES ET ENVIRONNEMENTAUX : HYDROPROTECH,,
9813,,,,,,,,,,,,,,,,,,,,,2012,2210332,IAE,"ADMINISTRATION DES AFFAIRES : FINANCE, FISCALITE",STRATEGIE FISCALE DE L'ENTREPRISE,,
9814,,,,,,,,,,,,,,,,,,,,,2012,2210694,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN","SECURITE INTERNATIONALE, DEFENSE, INTELLIGENCE ECONOMIQUE",,
9815,developpement java,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,de 200 à 499,,,2000 à 2500,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2202176,SCIENCES,"SCIENCES, TECHNOLOGIES, SANTE : METHODES INFORMATIQUES APPLIQUEES A LA GESTIONS DES ENTREPRISES (MIAGE)",NOUVELLES TECHNOLOGIES ET DIRECTION DE PROJETS,,
9816,,,,,,,,,,,,,,,,,,,,,2012,2214342,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",ADMINISTRATION DES ENTREPRISES,,
9817,chargé de recouvrement,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,500 et plus,,,1000 à 1500,,"Réseau de relations personnelles, familiales...",,2012,2220499,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN",GOUVERNANCE ET FINANCEMENT DU DEVELOPPEMENT,,
9818,,,,,,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Activités financières et d'assurance,500 et plus,,,Moins de 1000,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2214342,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",ADMINISTRATION DES ENTREPRISES,,
9819,notaire stagiaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,Contrat de professionnalisation,"Employé de bureau, de commerce, personnel de service","Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)","Activités spécialisées, scientifiques et techniques",de 50 à 199,,,2500 et plus,,Candidature spontanée,,2012,2210676,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT NOTARIAL,,
9820,,,,,,,,,,,,,,,,,,,,,2012,2211473,LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"PSYCHOPATHOLOGIES INTERCULTURELLES, CLINIQUE DU LIEN SOCIAL, DES SITUATIONS DE CRISE ET DES TRAUMATI",,
9821,Rédacteur Crédits Professionnels,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2012,2220493,DROIT,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT PRIVE FONDAMENTAL ET SCIENCES CRIMINELLES,,
