ID,Intitulé_emploi,ROME niveau 1 lib,ROME niveau 2 lib,CodeROME,Intitulé ROME,FAPcode,FAPlib,PCScode,PCSlib,Statut_emploi,Niveau_emploi,Type_employeur,Secteur_activité_entreprise,Effectif_entreprise,Temps_travail,Quotité_partiel,Classe_rémuneration_mensuelle,Département_emploi,Mode_obtention,Durée_accès,Année_diplôme,Code_diplôme,Composante_diplôme,Mention_diplôme,Spécialité_diplôme,Domaine_diplôme,Filière_diplôme,Diplôme_ROME1,Diplôme_ROME2,Diplôme_ROME3,Diplôme_ROME4,Diplôme_ROME5
,Cadre Développeur,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 10 à 49,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2003767,IUT,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,SYSTEMES AUTOMATISES ET RESEAUX INDUSTRIELS,,,,,,,
,adjoint d'animation,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Animation d'activités de loisirs,G1203,Animation de loisirs auprès d'enfants ou d'adolescents ,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Autres activités de service,500 et plus,,,1500 à 2000,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2003319,IUT Sophia,RESEAUX ET TELECOMMUNICATIONS,INGENIERIE DES RESEAUX MOBILES,,,,,,,
,,,,,,,,,,,,,,,,,1500 à 2000,,,,2012,2006426,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,ADMINISTRATION SYSTEME (ADMIN),,,,,,,
,Chef de projet,,,,,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2006226,IUT,ELECTRICITE ET ELECTRONIQUE,ELECTROTECHNIQUE ET ENERGIES RENOUVELABLES,,,,,,,
,administrateur systeme SS2i,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,1500 à 2000,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2006426,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,ADMINISTRATION SYSTEME (ADMIN),,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2006426,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,ADMINISTRATION SYSTEME (ADMIN),,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2003610,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE DISTRIBUEE ET SYSTEME D'INFORMATION D'ENTREPRISE (IDSE),,,,,,,
,Administrateur réseau,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2012,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,dévelopeur,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2012,2003610,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE DISTRIBUEE ET SYSTEME D'INFORMATION D'ENTREPRISE (IDSE),,,,,,,
,DÉVELOPPEUR INFORMATIQUE,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,1000 à 1500,,Intérim,,2012,2005139,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,"INFORMATIQUE, MULTIMEDIA ET JEUX SUR RESEAU (IMJ)",,,,,,,
,Technicien informatique niveau 2,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2005136,IUT Sophia,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,,,,,,,,,,,,,,,,,2000 à 2500,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Agent administratif pour un groupe immobilier,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1602,Opérations administratives,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,,,"Pôle Emploi, APEC, AFIJ, mission locale",,2012,2006206,IUT,COMMERCE,MANAGEMENT ET COMMERCIALISATION DES BIENS ET SERVICES IMMOBILIERS,,,,,,,
,mandataire immobilier,"BANQUE, ASSURANCE, IMMOBILIER",Immobilier,C1504,Transaction immobilière,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Vous-même,"Activités spécialisées, scientifiques et techniques",Pas de salarié,,,,,Création ou reprise d entreprise,,2012,2006206,IUT,COMMERCE,MANAGEMENT ET COMMERCIALISATION DES BIENS ET SERVICES IMMOBILIERS,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2006219,LASH,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,PATRIMOINE MATERIEL ET IMMATERIEL,,,,,,,
,cours particuliers,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Autre,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Enseignement,de 10 à 49,,,2500 et plus,,"Pôle Emploi, APEC, AFIJ, mission locale",,2012,2006219,LASH,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,PATRIMOINE MATERIEL ET IMMATERIEL,,,,,,,
,,,,,,,,,,,,,,,,,1000 à 1500,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Responsable qualité,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Responsable du développement ,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,2500 et plus,,"Réseau de relations personnelles, familiales...",,2012,2006206,IUT,COMMERCE,MANAGEMENT ET COMMERCIALISATION DES BIENS ET SERVICES IMMOBILIERS,,,,,,,
,professeur ,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 50 à 199,,,2500 et plus,,Réussite d un concours administratif,,2012,2002565,SCIENCES,BIOTECHNOLOGIES,"GENIE BIOLOGIQUE, MICROSCOPIE ET QUALITE",,,,,,,
,Commercial,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,2500 et plus,,Candidature spontanée,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2002565,SCIENCES,BIOTECHNOLOGIES,"GENIE BIOLOGIQUE, MICROSCOPIE ET QUALITE",,,,,,,
,,,,,,,,,,,,,,,,,1500 à 2000,,,,2012,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,responsable comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Agriculture, sylviculture et pêche",de 10 à 49,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2008426,IAE,HOTELLERIE ET TOURISME,ARTS ET TECHNIQUES DE L'HOTELLERIE DE LUXE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,chargé de communication sur le tourisme et directrice de service,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)",Personnel de catégorie C de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Information et communication,500 et plus,,,Moins de 1000,,À la suite d un stage ou d un contrat en alternance,,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Préparatrice en pharmacie,SANTE,Professionnels médico-techniques,J1307,Préparation en pharmacie,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,1500 à 2000,,"Pôle Emploi, APEC, AFIJ, mission locale",,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,chef de projet,,,,,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Aide comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Un organisme à but non lucratif ou une association,Santé humaine et action sociale,500 et plus,,,2500 et plus,,"Pôle Emploi, APEC, AFIJ, mission locale",,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,Conseillère commerciale en banque,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1206,Gestion de clientèle bancaire,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,agent de service hospitalier,SANTE,Professionnels médico-techniques,J1301,Personnel polyvalent des services hospitaliers,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Santé humaine et action sociale,de 50 à 199,,,1500 à 2000,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Conseiller bancaire,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1206,Gestion de clientèle bancaire,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 3 à 9,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Technico-commercial,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1407,Relation technico-commerciale,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 50 à 199,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2012,2006455,IUT,COMMERCE,TECHNICO-COMMERCIALE,,,,,,,
,responsable de secteur,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1707,Stratégie commerciale,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Un organisme à but non lucratif ou une association,Santé humaine et action sociale,de 50 à 199,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Conseillère en parapharmacie,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Commerce non alimentaire et de prestations de confort,D1214,Vente en habillement et accessoires de la personne,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,,,Candidature spontanée,,2012,2006455,IUT,COMMERCE,TECHNICO-COMMERCIALE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,Moins de 1000,,,,2012,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,jOURNALISTE REPORTER D'IMAGES,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,"Intermittent du spectacle, pigiste","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Information et communication,de 10 à 49,,,2500 et plus,,Candidature spontanée,,2012,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2005139,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,"INFORMATIQUE, MULTIMEDIA ET JEUX SUR RESEAU (IMJ)",,,,,,,
,Assistante-comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 50 à 199,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D'EXPERTISE COMPTABLE,,,,,,,
,Directeur marketing-Employé polyvalent,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1705,Marketing,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,1000 à 1500,,"Réseau de relations personnelles, familiales...",,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,Directrice d'une structure associative,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1403,"Management de structure de santé, sociale ou pénitentiaire",,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Un organisme à but non lucratif ou une association,Santé humaine et action sociale,de 3 à 9,,,2500 et plus,,"Réseau de relations personnelles, familiales...",,2012,2003294,IAE,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,STYLE SUPERVISOR,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)",,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,Moins de 1000,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2008426,IAE,HOTELLERIE ET TOURISME,ARTS ET TECHNIQUES DE L'HOTELLERIE DE LUXE,,,,,,,
,web dévellopeur et comunity manager,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 3 à 9,,,1500 à 2000,,"Pôle Emploi, APEC, AFIJ, mission locale",,2012,2006456,LASH,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE MULTIMEDIA APPLIQUEE,,,,,,,
,Développeur WEB ,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,1000 à 1500,,Candidature spontanée,,2012,2003767,IUT,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,SYSTEMES AUTOMATISES ET RESEAUX INDUSTRIELS,,,,,,,
,,,,,,,,,,,,,,,,,1000 à 1500,,,,2012,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D'EXPERTISE COMPTABLE,,,,,,,
,Assistant chargé d'affaires,INDUSTRIE,Affaires et support technique client,H1102,Management et ingénierie d'affaires,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 10 à 49,,,2500 et plus,,Candidature spontanée,,2012,2006226,IUT,ELECTRICITE ET ELECTRONIQUE,ELECTROTECHNIQUE ET ENERGIES RENOUVELABLES,,,,,,,
,économe de flux,,,,,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),Personnel de catégorie B de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Construction,500 et plus,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2006833,SCIENCES,GENIE CIVIL ET CONSTRUCTION,BATIMENTS A HAUTES PERFORMANCES ENERGETIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,adjointe de direction en maison de retraite,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1403,"Management de structure de santé, sociale ou pénitentiaire",,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Santé humaine et action sociale,de 10 à 49,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 200 à 499,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2003611,IUT Menton,MANAGEMENT DES ORGANISATIONS,STATISTIQUE ET INFORMATIQUE DECISIONNELLE,,,,,,,
,Analyste fonctionnel,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,,de 200 à 499,,,1000 à 1500,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",,2012,2003610,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE DISTRIBUEE ET SYSTEME D'INFORMATION D'ENTREPRISE (IDSE),,,,,,,
,Consultant Business Intelligence,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Autres activités de service,500 et plus,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2003611,IUT Menton,MANAGEMENT DES ORGANISATIONS,STATISTIQUE ET INFORMATIQUE DECISIONNELLE,,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2005136,IUT Sophia,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,chef de projet,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Information et communication,de 1 à 2,,,,,À la suite d un stage ou d un contrat en alternance,,2012,2005136,IUT Sophia,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,technicienne en histologie,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 50 à 199,,,,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",,2012,2002565,SCIENCES,BIOTECHNOLOGIES,"GENIE BIOLOGIQUE, MICROSCOPIE ET QUALITE",,,,,,,
,auxiliaire de puériculture,SANTE,Professionnels médico-techniques,J1304,Aide en puériculture,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Santé humaine et action sociale,de 3 à 9,,,,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,directeur adjoint sur les services économique et logistique,SUPPORT À L'ENTREPRISE,Organisation et études,M1403,Études et prospectives socio-économiques,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service","La fonction publique (d'Etat, territoriale ou hospitalière)","Activités spécialisées, scientifiques et techniques",de 50 à 199,,,2500 et plus,,"Réseau de relations personnelles, familiales...",,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,2000 à 2500,,,,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Coordinatrice,,,,,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),Personnel de catégorie B de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique (hors enseignement),,,,Moins de 1000,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,1000 à 1500,,,,2012,2006833,SCIENCES,GENIE CIVIL ET CONSTRUCTION,BATIMENTS A HAUTES PERFORMANCES ENERGETIQUES,,,,,,,
,Conseillère de vente,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1406,Management en force de vente,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,Moins de 1000,,Candidature spontanée,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2002800,SCIENCES,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,ANALYSE ET CONTROLE,,,,,,,
,technicien de laboratoire,INDUSTRIE,Méthodes et gestion industrielles,H1404,Intervention technique en méthodes et industrialisation,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2012,2002800,SCIENCES,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,ANALYSE ET CONTROLE,,,,,,,
